StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2,Q3,Q4,Q4_7_TEXT,Q5,Q6,Q7,Q7_5_TEXT,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current academic level? - Selected Choice,What is your current academic level? - Other (please specify) - Text,What is your intended major / primary field of study?,Have you heard of “digital humanities” before?,Which of the following digital tools have you used in your school studies? - Selected Choice,Which of the following digital tools have you used in your school studies? - Other (please specify) - Text,What is your level of experience with digital tools?,How frequently do you use digital tools?,What challenges have you faced when using digital tools for schoolwork? - Selected Choice,What challenges have you faced when using digital tools for schoolwork? - Other (please specify) - Text,What kind of support or resources would help you use digital tools more effectively?,How interested are you in learning more about digital humanities tools?,Would you take a course or workshop focused on digital humanities tools if offered at school?
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_6_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_7_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_5_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}"
2025-09-15 10:05:28,2025-09-15 10:06:34,0,130.126.255.32,100,66,1,2025-09-15 10:06:35,R_6pfGcGbEpDKBIAr,,,,,40.112,-88.2365,anonymous,EN,3,,"Sociology & Psychology ",2,"1,2,6",,3,2,"2,3,4",,Clearer explanations for how to use the software.,3,3
2025-09-15 10:05:22,2025-09-15 10:06:51,0,130.126.255.214,100,88,1,2025-09-15 10:06:51,R_1FfS9pej7wuEF3i,,,,,40.112,-88.2365,anonymous,EN,1,,"Education, Early Childhood",1,6,,2,4,3,,Better explanation of efficient usage,3,2
2025-09-15 10:05:59,2025-09-15 10:07:10,0,130.126.255.71,100,70,1,2025-09-15 10:07:10,R_568A0b9hvwMzsaz,,,,,40.112,-88.2365,anonymous,EN,2,,Economics,1,"2,3",,2,1,"1,2",,N/A,2,1
2025-09-15 10:05:52,2025-09-15 10:07:18,0,130.126.255.16,100,85,1,2025-09-15 10:07:18,R_54Ox3gDpaEayDDK,,,,,40.112,-88.2365,anonymous,EN,1,,Neuroscience on pre-med track,1,1,,3,2,"3,4,7",,Intro classes to digital tools,2,1
2025-09-15 10:06:11,2025-09-15 10:07:19,0,130.126.255.29,100,67,1,2025-09-15 10:07:19,R_5l60W5dLqkS0IFj,,,,,40.112,-88.2365,anonymous,EN,1,,"Business ",1,"1,2,3,4",,2,1,"1,3,4",,Mabey like guided sessions to teach.,1,1
2025-09-15 10:06:17,2025-09-15 10:07:22,0,130.126.255.175,100,64,1,2025-09-15 10:07:23,R_7reHG3QXK8OOLtM,,,,,40.112,-88.2365,anonymous,EN,1,,"finance and data science ",1,"1,2,3,6",,3,1,3,,"AI 101: intro to prompting AI ",1,1
2025-09-15 10:06:16,2025-09-15 10:07:27,0,130.126.255.14,100,70,1,2025-09-15 10:07:27,R_7g3O6wm7DbyVAbv,,,,,40.112,-88.2365,anonymous,EN,3,,Finance,2,1,,2,4,2,,NA,1,3
2025-09-15 10:06:20,2025-09-15 10:07:29,0,130.126.255.227,100,68,1,2025-09-15 10:07:29,R_3lAYXTgcFkFxwkj,,,,,40.112,-88.2365,anonymous,EN,1,,Finance,1,"2,6",,3,2,3,,More experience,3,3
