StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which country are you from?,Which state/province/region are you from?,Which city is your hometown?,Use one sentence to describe your hometown.
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}"
2025-09-15 10:05:24,2025-09-15 10:05:49,IP Address,130.126.255.72,100,25,True,2025-09-15 10:05:49,R_6MX5kslW10Jj7om,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Chicago,Diverse
2025-09-15 10:05:27,2025-09-15 10:05:49,IP Address,130.126.255.16,100,22,True,2025-09-15 10:05:50,R_692bmLUcjGJCxc5,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Champaign,College town for UIUC
2025-09-15 10:05:23,2025-09-15 10:05:55,IP Address,72.36.119.179,100,31,True,2025-09-15 10:05:55,R_3LbWHvQIWAgcnn3,,,,,40.112,-88.2365,anonymous,EN,"United States ","Illinois
","Oak Park ",Comforting
2025-09-15 10:05:29,2025-09-15 10:05:56,IP Address,130.126.255.71,100,26,True,2025-09-15 10:05:57,R_6hAzxw9Cv2oMrVi,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Chicago,"A very large, diverse city."
2025-09-15 10:05:26,2025-09-15 10:05:58,IP Address,130.126.255.36,100,31,True,2025-09-15 10:05:58,R_1JfuvZARfLdymNX,,,,,40.112,-88.2365,anonymous,EN,Usa,Illinois,Bloomington Normal,Suburb
2025-09-15 10:05:34,2025-09-15 10:05:59,IP Address,130.126.255.19,100,25,True,2025-09-15 10:06:00,R_7kFcicaYHEG6WIB,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Jacksonville,Rural
2025-09-15 10:05:23,2025-09-15 10:06:00,IP Address,130.126.255.242,100,36,True,2025-09-15 10:06:00,R_66b60zL30whcMUr,,,,,40.112,-88.2365,anonymous,EN,U.S.,Illinois,Chicago,"Very, very busy."
2025-09-15 10:05:37,2025-09-15 10:06:02,IP Address,130.126.255.84,100,24,True,2025-09-15 10:06:02,R_1ilgPTqmC50JJff,,,,,40.112,-88.2365,anonymous,EN,India,Haryana,Gurgaon,Too crowded
2025-09-15 10:05:23,2025-09-15 10:06:02,IP Address,172.225.130.44,100,38,True,2025-09-15 10:06:02,R_7irG8J8Rs6W0kjf,,,,,41.8835,-87.6305,anonymous,EN,United States,Illinois,Chicago,Urban
2025-09-15 10:05:26,2025-09-15 10:06:03,IP Address,130.126.255.232,100,37,True,2025-09-15 10:06:04,R_3xrSpl7PAhNr7bP,,,,,40.112,-88.2365,anonymous,EN,USA,CA,San Mateo,Suburb close to SanFransisco.
2025-09-15 10:05:26,2025-09-15 10:06:06,IP Address,130.126.255.166,100,40,True,2025-09-15 10:06:06,R_7akREwoM4PvcDrQ,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Chicago,It's windy and cold
2025-09-15 10:05:24,2025-09-15 10:06:06,IP Address,130.126.255.29,100,41,True,2025-09-15 10:06:06,R_6aY65YQLXzYL9cR,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,"St. Charles ","Nice suburb of Chicago "
2025-09-15 10:05:39,2025-09-15 10:06:09,IP Address,130.126.255.14,100,30,True,2025-09-15 10:06:09,R_5JKkv0FjV0oOuL8,,,,,40.112,-88.2365,anonymous,EN,"Uniter States
",IL,"Wheaton
",Christian
2025-09-15 10:05:28,2025-09-15 10:06:09,IP Address,130.126.255.178,100,41,True,2025-09-15 10:06:10,R_6VKnjQXZChcF3RL,,,,,40.112,-88.2365,anonymous,EN,China,Beijing,Beijing,Political and beautiful
2025-09-15 10:05:58,2025-09-15 10:06:13,IP Address,130.126.255.175,100,15,True,2025-09-15 10:06:13,R_7IoMj6IZRtll044,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,"Wilmette ","Suburb "
2025-09-15 10:05:35,2025-09-15 10:06:14,IP Address,130.126.255.227,100,38,True,2025-09-15 10:06:14,R_5dbtJYTIecnDI2d,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Fillmore,"Small, with less than 400 people."
2025-09-15 10:05:24,2025-09-15 10:06:14,IP Address,130.126.255.37,100,50,True,2025-09-15 10:06:14,R_7uS4FgUwsEGJRv3,,,,,40.112,-88.2365,anonymous,EN,The US,Illinois,Wilmette,A suburb north of Chicago
2025-09-15 10:05:35,2025-09-15 10:06:15,IP Address,130.126.255.114,100,40,True,2025-09-15 10:06:16,R_6OrAa9ICgmxcuaG,,,,,40.112,-88.2365,anonymous,EN,USA,Illinois,Normal,Normal is a college town much like Champaign-Urbana.
2025-09-15 10:05:23,2025-09-15 10:06:16,IP Address,130.126.255.161,100,53,True,2025-09-15 10:06:16,R_5dgodgMmd7PXuES,,,,,40.112,-88.2365,anonymous,EN,United States,Texas,San Antonio,San Antonio is a large city in central Texas known for its historical significance in Texan history.
2025-09-15 10:05:29,2025-09-15 10:06:18,IP Address,174.228.99.104,100,49,True,2025-09-15 10:06:18,R_3Do6mG7vGzncTkJ,,,,,41.85,-87.7165,anonymous,EN,USA,Illinois,Downers Grove,It is a western suburb of Chicago.
2025-09-15 10:05:52,2025-09-15 10:06:19,IP Address,130.126.255.97,100,26,True,2025-09-15 10:06:19,R_5oB1F5SXWzDf6IO,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Chicago,Busy
2025-09-15 10:05:32,2025-09-15 10:06:23,IP Address,130.126.255.91,100,51,True,2025-09-15 10:06:24,R_5u8kvb7pflikmS5,,,,,40.112,-88.2365,anonymous,EN,United States of America,Illinois,Buffalo Grove,Buffalo Grove is located in the northern suburbs of Chicago.
2025-09-15 10:05:24,2025-09-15 10:06:24,IP Address,130.126.255.126,100,59,True,2025-09-15 10:06:24,R_1xB09LdyTT3skRX,,,,,40.112,-88.2365,anonymous,EN,United States,California,Pasadena,Pasadena is a cutural city full of history and architecture.
2025-09-15 10:05:27,2025-09-15 10:06:24,IP Address,130.126.255.137,100,57,True,2025-09-15 10:06:25,R_625g5CetvvQvgXu,,,,,40.112,-88.2365,anonymous,EN,United States,Illinois,Bartlett,My hometown is a diverse population filled with multiple many types of people.
2025-09-15 10:05:24,2025-09-15 10:06:27,IP Address,72.36.119.206,100,62,True,2025-09-15 10:06:27,R_5GuJEM3EcMuB4Ep,,,,,40.112,-88.2365,anonymous,EN,Taiwan,New Taipei City,New Taipei City,Very close to Taipei City and has a lot of night markets.
