Course,Department,Institution,U.S. News Ranking (2025),Link
data concept and analysis,Center for Digital Humanities,Princeton University,1,https://registrar.princeton.edu/course-offerings/course-details?courseid=013536&term=1244
"data concept and analysis, visualization, mapping, network analysis, textual analysis","School of Humanities, Arts, and Social Sciences",Massachusetts Institute of Technology,2,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cms633.github.io/assets/cms-633-syllabus.pdf
"data concept and analysis, visualization",Harvard Faculty of Arts & Sciences,Harvard University,3,https://pll.harvard.edu/course/introduction-digital-humanities
"Textual Analysis, network analysis",School of Humanities and Sciences,Stanford University,4,https://bulletin.stanford.edu/programs/DIGHUM-MIN
,,Yale University,5,
,,California Institute of Technology,6,
,,Duke University,6,
,,Johns Hopkins University,6,
,,Northwestern University,6,
,,University of Pennsylvania,10,
,,Cornell University,11,
,,University of Chicago,11,
,,Brown University,13,
,,Columbia University,13,
,,Dartmouth College,15,
,,University of California-Los Angeles,15,
"Python, archival design, visualization, spatial analysis, textual analysis",L&S Division of Arts and Humanities,University of California-Berkeley,17,https://summerdigitalhumanities.berkeley.edu/
,,Rice University,18,
,,University of Notre Dame,18,
,,Vanderbilt University,18,
,,Carnegie Mellon University,21,
,,University of Michigan-Ann Arbor,21,
,,Washington University in St. Louis,21,
,,Emory University,24,
,,Georgetown University,24,
,,University of Virginia,24,
,,University of North Carolina at Chapel Hill,27,
,,University of Southern California,27,
,,University of California-San Diego,29,
"Python, data concept and analysis, Web Development",Graduate School of Arts & Science,New York University,30,
,,University of Florida,30,
,,University of Texas at Austin,30,
,,Georgia Institute of Technology,33,
,,University of California-Davis,33,
,,University of California-Irvine,33,
,,University of Illinois Urbana-Champaign,33,
,,Boston College,37,
,,Tufts University,37,
,,University of California-Santa Barbara,39,
,,University of Wisconsin-Madison,39,
,,Boston University,41,
,,Ohio State University-Main Campus,41,
,,Rutgers University-New Brunswick,41,
,,University of Maryland-College Park,44,
,,University of Rochester,44,
,,Lehigh University,46,
,,Purdue University-Main Campus,46,
,,University of Georgia,46,
,,University of Washington-Seattle Campus,46,
,,Wake Forest University,46,
,,Case Western Reserve University,51,
,,Texas A & M University-College Station,51,
,,Virginia Polytechnic Institute and State University,51,
,,William & Mary,54,
,,Florida State University,54,
,,Northeastern University,54,
,,University of Minnesota-Twin Cities,54,
,,North Carolina State University,58,
,,Stony Brook University,58,
,,University of California-Merced,58,
,,University of Massachusetts-Amherst,58,
,,Villanova University,58,
,,Brandeis University,63,
,,George Washington University,63,
,,Michigan State University,63,
,,Pennsylvania State University-World Campus,63,
,,Santa Clara University,63,
,,Tulane University,63,
,,University of Miami,63,
,,Rensselaer Polytechnic Institute,70,
,,University of Connecticut,70,
,,University of Pittsburgh-Pittsburgh Campus,70,
,,Binghamton University,73,
,,Indiana University-Bloomington,73,
,,Syracuse University,73,
,,Colorado School of Mines,76,
,,Stevens Institute of Technology,76,
,,University of Buffalo,76,
,,University of California-Riverside,76,
,,Clemson University,80,
,,Pepperdine University,80,
,,Rutgers University-Newark,80,
,,University of Illinois Chicago,80,
,,New Jersey Institute of Technology,84,
,,University of California-Santa Cruz,84,
,,Drexel University,86,
,,Howard University,86,
,,Marquette University,86,
,,University of Delaware,86,
,,Worcester Polytechnic Institute,86,
,,American University,91,
,,Baylor University,91,
,,Fordham University,91,
,,Loyola Marymount University,91,
,,Rochester Institute of Technology,91,
,,Southern Methodist University,91,
,,University of South Florida,91,
,,Florida International University,98,
,,Gonzaga University,98,
,,Rutgers University-Camden,98,
,,Temple University,98,
,,University of Colorado Boulder,98,
,,University of Iowa,98,
,,Yeshiva University,98,
