id,author_id,created_at,text,clean_text,sentiment_score,sentiment
1964690296320446508,907034247327862784,2025-09-07 14:00:43+00:00,"September is East and Southeast Asian Heritage Month—a time to recognize the history, cultures, and contributions of Asian American communities. #AsianHeritageMonth #CelebrateAAPI #EastAndSoutheastAsianVoices #AAPIHistory #UnityInDiversity https://t.co/l4FQM1O5f3","September is East and Southeast Asian Heritage Month—a time to recognize the history, cultures, and contributions of Asian American communities.",0.0,neutral
1964670841070989812,1053363246785290240,2025-09-07 12:43:24+00:00,"@aka9933 @RTSG_Main I agree with your point, but even though it's a valid point, I don't think that east asians &amp; africans are the same, there are good examples of east asian societies historically other than china which were able to form complex civilizations. Even china in history was very complex","I agree with your point, but even though it's a valid point, I don't think that east asians &amp; africans are the same, there are good examples of east asian societies historically other than china which were able to form complex civilizations. Even china in history was very complex",0.6808,positive
1964611945669243120,1726996631357476864,2025-09-07 08:49:23+00:00,"@IzumiChan691 It’s almost the same here because of Meitei boomers. They dickr!de them. 

This is the problem with every Hindu East Asian society in NE, the boomers reinvent some parts of history so they can legitimise their closeness with Indic culture. 

People always talk about Christianity","It’s almost the same here because of Meitei boomers. They dickr!de them. This is the problem with every Hindu East Asian society in NE, the boomers reinvent some parts of history so they can legitimise their closeness with Indic culture. People always talk about Christianity",-0.4574,negative
1964604164060910042,1720665183188922368,2025-09-07 08:18:27+00:00,"@ra4340542774 @kurdish11495 @poopylayna Yes, Turks are a real ethnic group with a distinct language, culture, and history rooted in Turkic migrations from Central Asia. Genetic studies show modern Turks have mixed ancestry: typically 10-20% East/Central Asian (Turkic), with the rest from Anatolian, Greek, and other","Yes, Turks are a real ethnic group with a distinct language, culture, and history rooted in Turkic migrations from Central Asia. Genetic studies show modern Turks have mixed ancestry: typically 10-20% East/Central Asian (Turkic), with the rest from Anatolian, Greek, and other",0.4019,positive
1964529075881714030,1927971996023017473,2025-09-07 03:20:05+00:00,"Delve into the hidden history of the wakō! More than just pirates, they were vital ""sea lords"" who ran an illicit trade network, fueled Japan's civil war, and brought foreign goods to the people. Read our full research paper. #JapaneseHistory #WakōPirates
https://t.co/IPd0QlNDyh https://t.co/tu0pVquEUo","Delve into the hidden history of the wakō! More than just pirates, they were vital ""sea lords"" who ran an illicit trade network, fueled Japan's civil war, and brought foreign goods to the people. Read our full research paper.",-0.4574,negative
1964513734862176618,1873654249084923904,2025-09-07 02:19:07+00:00,"@EndWokeness There are periods of time where in a country’s history, the laws are too relaxed and the people become prone to criminality and murder. Then the laws must be ratcheted up to bring back civilization. 

In general East Asian countries and European countries always had death penalty","There are periods of time where in a country’s history, the laws are too relaxed and the people become prone to criminality and murder. Then the laws must be ratcheted up to bring back civilization. In general East Asian countries and European countries always had death penalty",-0.8555,negative
1964472778733896043,2960254056,2025-09-06 23:36:23+00:00,"@CollinSLKoh That DPM #GanKimYang commented on trapped by history. Many Asian history has not been told by ASEAN writers, few North East Asia.. China with companies facilitate the heroic story, character of Asian pronouncing to the World as #Trump feel jealous while he is gravitation stage.","That DPM commented on trapped by history. Many Asian history has not been told by ASEAN writers, few North East Asia.. China with companies facilitate the heroic story, character of Asian pronouncing to the World as feel jealous while he is gravitation stage.",-0.4215,negative
1964454630873845818,1135574679178100737,2025-09-06 22:24:16+00:00,@Notmadtaro I remember very late within Biden’s presidency that Wang Yi tried to make an appeal to their respective foreign ministers based on their shared East Asian sociocultural history (and something about how Americans can’t physically distinguish between the 3 which is true tbf).,I remember very late within Biden’s presidency that Wang Yi tried to make an appeal to their respective foreign ministers based on their shared East Asian sociocultural history (and something about how Americans can’t physically distinguish between the 3 which is true tbf).,0.7906,positive
1964446762007171481,823466132,2025-09-06 21:53:00+00:00,"@JohnH35414679 @matt_vanswol To bad you didn't research slavery altogether. Slavery began in the middle east between the middle east tribes/nations. Black, Whites, Olive, Asian, and Latino were ALL owners and the owned throughout history. Stop with your anti white racist bull shit fucker.","To bad you didn't research slavery altogether. Slavery began in the middle east between the middle east tribes/nations. Black, Whites, Olive, Asian, and Latino were ALL owners and the owned throughout history. Stop with your anti white racist bull shit fucker.",-0.9678,negative
1964391670180696215,1150851323484487680,2025-09-06 18:14:05+00:00,"[no rising sun flag] 
i found west person who is not ignorant about east asian history and have conscience and human right, humanism about east asian history. thank you!
https://t.co/qXTq6mZTz3","[no rising sun flag] i found west person who is not ignorant about east asian history and have conscience and human right, humanism about east asian history. thank you!",0.5583,positive
