INSTNM,CITY,STATE,STABBR,ZIP,LATITUDE,LONGITUDE,INSTURL
A Better U Beauty Barber Academy,Albuquerque,New Mexico ,NM,87110,35.11063,-106.583765,https://abuacademy.com/
A T Still University of Health Sciences,Kirksville,Missouri ,MO,63501,40.193648,-92.589183,www.atsu.edu/
ABC Adult School,Cerritos,California ,CA,90703-2801,33.878179,-118.070114,https://www.abcadultschool.edu/
ABC Adult School - Cabrillo Lane,Cerritos,California ,CA,90703-7748,nan,nan,nan
ABC Beauty Academy,Richardson,Texas ,TX,75081,32.931698,-96.685333,www.abcbeautyacademy.webs.com/
ABCO Technology,Inglewood,California ,CA,90304-1551,33.932121,-118.369774,www.abcotechnology.edu/
AI Miami International University of Art and Design,Miami,Florida ,FL,33132-1418,25.790008,-80.18839,www.artinstitutes.edu/miami/
AMG School of Nursing,Brooklyn,New York ,NY,11201-1728,40.692794,-73.982035,amg.edu/
AOMA Graduate School of Integrative Medicine,Austin,Texas ,TX,78745,30.228551,-97.800643,https://aoma.edu/
ASA College,Brooklyn,New York ,NY,11201-9805,40.691464,-73.986076,https://www.asa.edu/
ASI Career Institute,Turnersville,New Jersey ,NJ,08012-1043,39.756604,-75.045442,www.asi.edu/
ASPIRA City College,Philadelphia,Pennsylvania ,PA,19140-2302,40.017493,-75.135042,https://www.aspiracitycollege.edu/
ATA Career Education,Spring Hill,Florida ,FL,34606,28.452699,-82.595376,www.atafl.edu/
ATA College,Louisville,Kentucky ,KY,40223,38.223667,-85.563365,www.ata.edu/
ATA College,Tulsa,Oklahoma ,OK,74146,36.098554,-95.856621,www.tulsa.ata.edu/
ATA College,El Cajon,California ,CA,92020,32.819023,-116.981781,www.advancedtraining.edu/
ATA College-Cincinnati,Cincinnati,Ohio ,OH,45246,39.29671,-84.478867,www.ata.edu/
ATI College-Whittier,Whitter,California ,CA,90603-0000,33.948364,-118.003687,www.ati.edu/
Aaniiih Nakoda College,Harlem,Montana ,MT,59526,48.484196,-108.757816,www.ancollege.edu/
Abcott Institute,Southfield,Michigan ,MI,48075-5227,42.446331,-83.210617,www.abcott.edu/
Abilene Christian University,Abilene,Texas ,TX,79699,32.468943,-99.709797,www.acu.edu/
Abraham Baldwin Agricultural College,Tifton,Georgia ,GA,31793-2601,31.481889,-83.528281,https://www.abac.edu/
Abraham Lincoln University,Glendale,California ,CA,91210,34.146294,-118.256726,https://www.alu.edu/
Academia Serrant Inc,Ponce,Puerto Rico ,PR,00717-1250,18.009658,-66.61529,www.serrant.edu/
Academy College,Bloomington,Minnesota ,MN,55431-1411,44.855722,-93.299809,www.academycollege.edu/
Academy Di Capelli -,East Hartford,Connecticut ,CT,06108-3839,nan,nan,nan
Academy Di Capelli-School of Cosmetology,Wallingford,Connecticut ,CT,06492,41.490402,-72.806335,www.academydicapelli.com/
Academy di Firenze,Jerome,Idaho ,ID,83338-2329,42.723871,-114.519826,www.academydifirenze.com/
Academy for Careers and Technology,Mullins,South Carolina ,SC,29574-6009,34.186433,-79.340157,www.mcact.org/
Academy for Five Element Acupuncture,Gainesville,Florida ,FL,32601,29.650075,-82.321994,www.acupuncturist.edu/
Academy for Jewish Religion-California,Los Angeles,California ,CA,90024,34.070281,-118.438495,www.ajrca.edu/
Academy for Nursing and Health Occupations,West Palm Beach,Florida ,FL,33417,26.70653,-80.121497,www.anho.edu/
Academy for Salon Professionals,Northridge,California ,CA,91324,34.23396,-118.558215,www.academyla.com/
Academy of Art University,San Francisco,California ,CA,94105,37.787943,-122.400578,www.academyart.edu/
Academy of Beauty Professionals,Madison,Wisconsin ,WI,53719,43.05541,-89.490781,abpwi.com/
Academy of Beauty Professionals,Appleton,Wisconsin ,WI,54914-5780,44.266271,-88.461527,abpwi.com/
Academy of Beauty Professionals,Green Bay,Wisconsin ,WI,54303-4838,44.52349,-88.097926,abpi.com/
Academy of Career Training,Kissimmee,Florida ,FL,34741,28.306092,-81.439569,academyofcareertraining.com/
